O*NET-SOC Code,Occupation,n_tasks,avg_score,median_score,high_risk,low_risk,avg_importance,pct_high_risk
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",28,3.4214285714285713,3.0,9,0,4.2942857142857145,32.142857142857146
13-2031.00,Budget Analysts,13,3.0923076923076924,3.0,1,0,3.9676923076923076,7.6923076923076925
13-2041.00,Credit Analysts,11,3.090909090909091,3.0,0,0,4.0627272727272725,0.0
13-2054.00,Financial Risk Specialists,30,3.0433333333333334,3.0,1,0,,3.3333333333333335
13-2011.00,Accountants and Auditors,29,3.013793103448276,3.0,1,2,4.1476,3.4482758620689653
13-2082.00,Tax Preparers,12,3.0083333333333333,3.0,1,1,4.360833333333333,8.333333333333332
13-2061.00,Financial Examiners,17,2.988235294117647,3.0,0,1,3.918823529411765,0.0
11-3031.01,Treasurers and Controllers,22,2.959090909090909,3.0,1,1,4.113181818181818,4.545454545454546
13-2051.00,Financial and Investment Analysts,26,2.9153846153846152,3.0,0,1,,0.0
11-3031.00,Financial Managers,17,2.894117647058824,3.0,0,2,3.904705882352941,0.0
13-1111.00,Management Analysts,11,2.8272727272727276,3.0,0,2,3.950909090909091,0.0
13-2052.00,Personal Financial Advisors,21,2.8142857142857145,3.0,0,2,3.8352380952380956,0.0
