Task ID,Occupation,Task,importance,claude_score,claude_confidence,claude_reasoning
21311,Financial Managers,Establish and maintain relationships with individual or business customers or provide assistance with problems these customers may encounter.,4.3,1,high,client_relationship_trust
21319,Financial Managers,Oversee the flow of cash or financial instruments.,4.2,3,high,cash_flow_monitoring
21312,Financial Managers,"Plan, direct, or coordinate the activities of workers in branches, offices, or departments of establishments, such as branch banks, brokerage firms, risk and insurance departments, or credit departments.",4.13,2,high,management_coordination
21313,Financial Managers,Recruit staff members.,3.78,2,high,recruitment_judgment
21315,Financial Managers,Evaluate data pertaining to costs to plan budgets.,3.61,3,high,budget_data_analysis
21316,Financial Managers,Oversee training programs.,3.47,2,high,training_oversight
21327,Financial Managers,"Establish procedures for custody or control of assets, records, loan collateral, or securities to ensure safekeeping.",4.38,3,medium,custody_policy_setting
21322,Financial Managers,Communicate with stockholders or other investors to provide information or to raise capital.,4.24,1,high,investor_communication
21321,Financial Managers,Develop or analyze information to assess the current or future financial status of firms.,4.14,3,high,financial_status_analysis
21318,Financial Managers,"Approve, reject, or coordinate the approval or rejection of lines of credit or commercial, real estate, or personal loans.",4.09,2,high,loan_approval_judgment
21320,Financial Managers,"Prepare financial or regulatory reports required by laws, regulations, or boards of directors.",4.04,3,high,regulatory_reporting
21317,Financial Managers,"Examine, evaluate, or process loan applications.",3.98,3,high,loan_evaluation_mixed
21323,Financial Managers,"Evaluate financial reporting systems, accounting or collection procedures, or investment activities and make recommendations for changes to procedures, operating systems, budgets, or other financial control functions.",3.82,3,medium,systems_evaluation
21325,Financial Managers,Network within communities to find and attract new business.,3.76,1,high,community_networking
21314,Financial Managers,Prepare operational or risk reports for management analysis.,3.65,3,high,risk_reporting
21326,Financial Managers,Review collection reports to determine the status of collections and the amounts of outstanding balances.,3.61,3,high,collections_analysis
21329,Financial Managers,Review reports of securities transactions or price lists to analyze market conditions.,3.18,3,high,market_analysis
8870,Treasurers and Controllers,Evaluate needs for procurement of funds and investment of surpluses and make appropriate recommendations.,4.52,3,high,investment_evaluation
8858,Treasurers and Controllers,"Delegate authority for the receipt, disbursement, banking, protection, and custody of funds, securities, and financial instruments.",4.48,2,high,authority_delegation
8864,Treasurers and Controllers,"Develop and maintain relationships with banking, insurance, and external accounting personnel to facilitate financial activities.",4.44,1,high,banking_relationships
20168,Treasurers and Controllers,"Monitor financial activities and details, such as cash flow and reserve levels, to ensure that all legal and regulatory requirements are met.",4.4,3,high,compliance_monitoring
8861,Treasurers and Controllers,"Receive, record, and authorize requests for disbursements in accordance with company policies and procedures.",4.33,3,high,disbursement_authorization
8866,Treasurers and Controllers,"Develop internal control policies, guidelines, and procedures for activities, such as budget administration, cash and credit management, and accounting.",4.25,3,medium,policy_development
8865,Treasurers and Controllers,"Coordinate and direct the financial planning, budgeting, procurement, or investment activities of all or part of an organization.",4.22,3,high,financial_planning
8872,Treasurers and Controllers,Receive cash and checks and make deposits.,4.2,4,high,cash_deposit_routine
8856,Treasurers and Controllers,"Prepare or direct preparation of financial statements, business activity reports, financial position forecasts, annual budgets, or reports required by regulatory agencies.",4.14,4,high,financial_statements_prep
8863,Treasurers and Controllers,"Monitor and evaluate the performance of accounting and other financial staff, recommending and implementing personnel actions, such as promotions and dismissals.",4.09,2,high,staff_performance_eval
8867,Treasurers and Controllers,"Analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed.",4.08,3,high,financial_opportunity_analysis
8860,Treasurers and Controllers,Conduct or coordinate audits of company accounts and financial transactions to ensure compliance with state and federal requirements and statutes.,4.06,3,high,audit_coordination
8868,Treasurers and Controllers,"Advise management on short-term and long-term financial objectives, policies, and actions.",4.0,2,high,strategic_financial_advice
8859,Treasurers and Controllers,"Maintain current knowledge of organizational policies and procedures, federal and state policies and directives, and current accounting standards.",4.0,3,medium,standards_maintenance
8869,Treasurers and Controllers,Provide direction and assistance to other organizational units regarding accounting and budgeting policies and procedures and efficient control and utilization of financial resources.,3.9,2,high,accounting_guidance
8871,Treasurers and Controllers,Lead staff training and development in budgeting and financial management areas.,3.71,2,high,staff_training_leadership
8855,Treasurers and Controllers,Prepare and file annual tax returns or prepare financial information so that outside accountants can complete tax returns.,4.45,4,high,tax_return_preparation
8857,Treasurers and Controllers,"Supervise employees performing financial reporting, accounting, billing, collections, payroll, and budgeting duties.",4.33,2,high,staff_supervision
8874,Treasurers and Controllers,Perform tax planning work.,4.14,3,high,tax_planning
8873,Treasurers and Controllers,"Compute, withhold, and account for all payroll deductions.",4.0,4,high,payroll_deductions_routine
20169,Treasurers and Controllers,"Handle all aspects of employee insurance, benefits, and casualty programs, including monitoring changes in health insurance regulations and creating budgets for benefits and worker's compensation.",3.75,3,medium,benefits_administration
8875,Treasurers and Controllers,"Determine depreciation rates to apply to capitalized items and advise management on actions regarding the purchase, lease, or disposal of such items.",3.0,3,high,depreciation_calculation
7276,Management Analysts,Gather and organize information on problems or procedures.,4.48,3,high,information_gathering
7278,Management Analysts,Confer with personnel concerned to ensure successful functioning of newly implemented systems or procedures.,4.48,2,high,change_management
7277,Management Analysts,Analyze data gathered and develop solutions or alternative methods of proceeding.,4.45,3,high,data_analysis_solutions
7282,Management Analysts,"Document findings of study and prepare recommendations for implementation of new systems, procedures, or organizational changes.",4.24,3,high,findings_documentation
7285,Management Analysts,"Plan study of work problems and procedures, such as organizational change, communications, information flow, integrated production methods, inventory control, or cost analysis.",4.1,3,high,work_study_planning
7281,Management Analysts,"Interview personnel and conduct on-site observation to ascertain unit functions, work performed, and methods, equipment, and personnel used.",4.1,2,high,field_interviews
7283,Management Analysts,"Prepare manuals and train workers in use of new forms, reports, procedures or equipment, according to organizational policy.",3.84,2,high,training_manual_prep
7280,Management Analysts,"Review forms and reports and confer with management and users about format, distribution, and purpose, identifying problems and improvements.",3.74,3,high,forms_review
7279,Management Analysts,"Develop and implement records management program for filing, protection, and retrieval of records, and assure compliance with program.",3.61,3,high,records_management_program
7284,Management Analysts,"Design, evaluate, recommend, and approve changes of forms and reports.",3.21,3,high,forms_design
7286,Management Analysts,Recommend purchase of storage equipment and design area layout to locate equipment in space available.,3.21,3,medium,equipment_recommendation
21505,Accountants and Auditors,Prepare detailed reports on audit findings.,4.58,3,high,audit_report_prep
21506,Accountants and Auditors,"Report to management about asset utilization and audit results, and recommend changes in operations and financial activities.",4.55,3,high,audit_result_reporting
21507,Accountants and Auditors,"Collect and analyze data to detect deficient controls, duplicated effort, extravagance, fraud, or non-compliance with laws, regulations, and management policies.",4.5,3,high,fraud_compliance_analysis
21508,Accountants and Auditors,"Inspect account books and accounting systems for efficiency, effectiveness, and use of accepted accounting procedures to record transactions.",4.5,3,high,books_inspection
21509,Accountants and Auditors,"Supervise auditing of establishments, and determine scope of investigation required.",4.5,2,high,audit_supervision
21510,Accountants and Auditors,Confer with company officials about financial and regulatory matters.,4.3,2,high,official_consultation
21511,Accountants and Auditors,"Examine and evaluate financial and information systems, recommending controls to ensure system reliability and data integrity.",4.3,3,high,systems_controls_exam
21512,Accountants and Auditors,"Inspect cash on hand, notes receivable and payable, negotiable securities, and canceled checks to confirm records are accurate.",4.25,3,high,cash_securities_inspection
21513,Accountants and Auditors,Examine records and interview workers to ensure recording of transactions and compliance with laws and regulations.,4.24,3,high,records_examination
